experiment_id,generator,model_key,split_kind,budget_per_week,threshold,n_total,n_alerts,alerts_per_week,brier_score,calibration_slope,calibration_intercept,precision_tp_before_sl,expectancy_r_per_alert,hit_rate,profit_factor,max_drawdown_r,worst_20_trade_drawdown_r,median_hold_minutes,mean_probability_alerts,primary_metric
S0_native_continuation,continuation_v1,baseline,final,1,0.7286032444558234,7.0,1.0,2.4000000000000004,0.22968798464896922,,,0.0,-1.0,0.0,0.0,0.0,0.0,60.0,0.7294496783902125,-1.0
S0_native_continuation,continuation_v1,baseline,final,3,0.4811314501425301,7.0,5.0,12.000000000000002,0.22968798464896922,,,0.8,1.4,0.8,8.0,1.0,1.0,180.0,0.6278391003301581,1.4
S0_native_continuation,continuation_v1,baseline,outer,1,0.7102371025329176,8.5,3.75,13.515536723163843,0.38081524327235855,0.7327676178752397,-1.2862223766642085,0.4732142857142857,0.4714277906908149,0.4732142857142857,2.0525092618732748,3.585720531616338,3.585720531616338,491.25,0.9171990624445718,0.4714277906908149
S0_native_continuation,continuation_v1,baseline,outer,3,0.6394884280261637,8.5,3.75,13.515536723163843,0.38081524327235855,0.7327676178752397,-1.2862223766642085,0.4732142857142857,0.4714277906908149,0.4732142857142857,2.0525092618732748,3.585720531616338,3.585720531616338,491.25,0.9171990624445718,0.4714277906908149
S1_native_plus_regime,continuation_v1,baseline,final,1,0.8177696537438431,7.0,0.0,0.0,0.29478154849642774,,,,,,,,,,,
S1_native_plus_regime,continuation_v1,baseline,final,3,0.6159429733381008,7.0,1.0,2.4000000000000004,0.29478154849642774,,,0.0,-1.0,0.0,0.0,0.0,0.0,60.0,0.6410885150212864,-1.0
S1_native_plus_regime,continuation_v1,baseline,outer,1,0.9035761589354729,8.25,2.5,14.31638418079096,0.41555058242045656,0.7831688611867273,-1.5411699855637369,0.75,1.25,0.75,inf,1.5,1.5,146.25,0.9343841845141123,1.25
S1_native_plus_regime,continuation_v1,baseline,outer,3,0.6470860753795498,8.25,4.75,26.88276836158192,0.41555058242045656,0.7831688611867273,-1.5411699855637369,0.4166666666666667,0.2811077749841043,0.4166666666666667,2.6666666666666665,3.3333333333333335,3.3333333333333335,562.5,0.8119293072607507,0.2811077749841043
S2_plus_crowding_feature,continuation_v1,baseline,final,1,0.7403700586076477,7.0,0.0,0.0,0.32913458691760006,,,,,,,,,,,
S2_plus_crowding_feature,continuation_v1,baseline,final,3,0.6164858506062748,7.0,0.0,0.0,0.32913458691760006,,,,,,,,,,,
S2_plus_crowding_feature,continuation_v1,baseline,outer,1,0.9117288981366927,8.25,0.75,0.4745762711864407,0.3746920359629369,-0.6059043244846507,-1.3407229993354777,0.6666666666666666,1.0,0.6666666666666666,4.0,1.0,1.0,210.0,0.9986617484452113,1.0
S2_plus_crowding_feature,continuation_v1,baseline,outer,3,0.6932850707821998,8.25,2.5,12.724576271186441,0.3746920359629369,-0.6059043244846507,-1.3407229993354777,0.3333333333333333,0.046661662476156385,0.3333333333333333,2.0,3.5000000000000004,3.5000000000000004,802.5,0.8024202382967717,0.046661662476156385
S3_plus_crowding_veto,continuation_v1,baseline,final,1,0.794378735426472,7.0,0.0,0.0,0.31417948104248444,,,,,,,,,,,
S3_plus_crowding_veto,continuation_v1,baseline,final,3,0.6762647468677697,7.0,0.0,0.0,0.31417948104248444,,,,,,,,,,,
S3_plus_crowding_veto,continuation_v1,baseline,outer,1,0.8893307207817085,8.0,2.5,14.31638418079096,0.424293644974986,0.5439873416577297,-0.9097084551318673,0.75,1.25,0.75,inf,1.5,1.5,146.25,0.875385319583516,1.25
S3_plus_crowding_veto,continuation_v1,baseline,outer,3,0.4765104423098726,8.0,5.0,27.0409604519774,0.424293644974986,0.5439873416577297,-0.9097084551318673,0.3666666666666667,0.1556926174008091,0.3666666666666667,1.8927373202406343,3.5437424545831426,3.5437424545831426,565.0,0.7119632206527529,0.1556926174008091
